client_id,nps_score,response_time_hrs,escalations,satisfied
1,54,158.67,298.45,0
2,68,464.48,307.63,1
3,42,289.27,456.41,1
4,65,229.12,44.56,0
5,68,362.55,310.64,1
6,59,203.37,434.02,1
7,90,432.3,48.61,0
8,31,36.88,456.75,0
9,46,349.89,176.18,0
10,26,135.53,418.4,0
11,90,420.64,43.76,0
12,93,333.07,135.19,0
13,52,243.73,144.17,0
14,86,366.88,89.89,0
15,86,78.33,252.15,0
16,63,444.79,251.89,1
17,34,354.94,180.56,0
18,67,102.93,308.87,0
19,54,429.26,229.92,1
20,86,268.01,313.97,1
21,93,35.68,56.87,0
22,78,365.15,383.19,1
23,81,466.37,247.64,1
24,72,362.0,105.81,0
25,27,176.26,234.4,0
26,74,152.8,208.18,0
27,84,18.29,233.91,0
28,29,481.18,293.62,1
29,43,264.83,496.83,1
30,65,215.28,33.21,0
31,22,413.26,277.92,1
32,25,354.28,255.11,1
33,37,60.41,232.07,0
34,90,306.08,206.38,1
35,74,336.63,264.15,1
36,27,320.03,308.12,1
37,79,134.61,118.08,0
38,53,280.21,336.14,1
39,86,481.97,332.96,1
40,46,147.14,82.13,0
41,69,460.44,160.27,1
42,39,370.28,312.19,1
43,55,238.05,125.43,0
44,21,355.01,330.21,1
45,54,44.7,319.92,0
46,67,193.17,11.19,0
47,79,451.65,137.4,1
48,79,470.23,431.06,1
49,75,374.2,394.98,1
50,82,385.56,202.82,1
51,82,403.71,497.64,1
52,46,21.44,135.44,0
53,47,349.64,77.91,0
54,81,292.69,175.54,0
55,46,203.58,484.05,1
56,66,36.83,481.42,0
57,75,494.49,235.91,1
58,78,316.71,493.31,1
59,34,144.35,237.89,0
60,79,413.81,460.33,1
61,84,359.61,239.56,1
62,27,25.09,445.37,0
63,86,49.67,185.24,0
64,66,235.79,472.01,1
65,25,250.7,51.34,0
66,68,148.73,366.71,0
67,48,152.08,47.71,0
68,72,250.45,431.55,1
69,27,73.87,150.73,0
70,21,137.12,217.65,0
71,51,386.17,398.43,1
72,86,90.95,180.53,0
73,58,221.33,304.7,0
74,30,116.27,387.9,0
75,84,398.48,497.76,1
76,67,317.57,112.8,0
77,42,234.27,434.68,1
78,48,422.71,434.75,1
79,68,228.69,98.51,0
80,38,284.02,64.44,0
81,68,463.19,404.46,1
82,74,381.86,26.16,0
83,69,21.01,236.36,0
84,85,467.98,483.73,1
85,31,47.42,303.6,0
86,56,288.07,60.38,0
87,36,404.45,158.1,1
88,61,125.96,128.27,0
89,88,87.4,220.3,0
90,40,187.26,393.95,1
91,59,25.92,98.94,0
92,36,328.45,146.42,0
93,57,320.78,113.45,0
94,31,101.55,132.6,0
95,34,80.94,72.11,0
96,61,226.85,437.57,1
97,87,284.2,342.32,1
98,22,379.47,322.21,1
99,51,72.74,252.94,0
100,62,338.44,144.77,0
101,72,392.54,316.95,1
102,33,443.0,250.85,1
103,69,321.05,345.64,1
104,48,182.52,14.39,0
