project_id,project_name,start_date,end_date,budget,actual_spend,team_size,risk_score,status,success
1,Project 1,2022-01-10,2022-06-04,44578.69,51294.98,6,0.89,At Risk,0
2,Project 2,2023-08-09,2023-11-21,324785.45,312246.51,3,0.56,Delayed,0
3,Project 3,2023-01-02,2023-05-24,22990.54,19624.86,6,0.72,Delayed,0
4,Project 4,2022-08-22,2023-01-02,297030.03,241043.75,9,0.81,At Risk,0
5,Project 5,2021-06-06,2022-03-16,470712.82,518751.37,13,0.99,At Risk,0
6,Project 6,2021-06-05,2022-02-16,291982.35,306033.66,6,0.6,Cancelled,0
7,Project 7,2021-02-28,2021-07-19,200203.26,216546.23,8,0.81,Delayed,0
8,Project 8,2023-05-17,2023-09-22,325211.23,287872.32,11,0.96,At Risk,0
9,Project 9,2022-08-25,2023-02-23,234543.92,200429.18,3,0.94,Cancelled,0
10,Project 10,2022-12-10,2023-07-21,277352.23,223495.38,7,0.14,On Track,1
11,Project 11,2021-01-21,2021-12-26,471317.76,443149.47,13,0.41,Delayed,0
12,Project 12,2023-08-28,2024-03-07,199190.29,206354.58,9,0.32,Cancelled,0
13,Project 13,2023-04-13,2023-12-06,480983.38,460251.85,3,0.09,On Track,1
14,Project 14,2021-08-01,2022-02-15,453621.81,442276.71,6,0.63,Cancelled,0
15,Project 15,2021-07-01,2022-01-07,105937.66,123063.91,8,0.74,Cancelled,0
16,Project 16,2021-07-03,2021-10-08,43987.04,41317.12,4,0.85,Delayed,0
17,Project 17,2021-11-01,2022-09-15,59381.22,59713.51,12,0.12,At Risk,0
18,Project 18,2022-06-09,2023-04-11,18928.69,21076.36,7,0.88,At Risk,0
19,Project 19,2022-03-08,2023-02-04,56277.05,53948.14,13,0.64,Cancelled,0
20,Project 20,2021-10-19,2022-04-01,344673.32,361505.33,12,0.7,Delayed,0
21,Project 21,2022-09-04,2023-04-16,44882.44,51387.95,3,0.91,At Risk,0
22,Project 22,2021-05-20,2021-10-24,166298.06,196199.82,8,0.62,At Risk,0
23,Project 23,2021-10-20,2021-12-21,423988.9,364134.13,8,0.34,Completed,1
24,Project 24,2022-01-02,2022-07-26,21403.25,25055.39,6,0.83,Cancelled,0
25,Project 25,2022-04-02,2022-05-23,409089.56,407799.5,10,0.36,On Track,1
26,Project 26,2023-02-25,2023-11-19,148108.84,133786.38,6,0.03,Completed,1
27,Project 27,2021-07-19,2022-01-22,67900.77,66790.88,10,0.83,Cancelled,0
28,Project 28,2022-05-30,2022-08-05,351401.21,418874.82,10,0.35,Cancelled,0
29,Project 29,2022-08-16,2023-05-02,318181.99,317242.47,7,0.77,Delayed,0
30,Project 30,2021-02-16,2021-05-07,439961.29,409824.23,6,0.36,Completed,1
31,Project 31,2022-08-31,2023-06-20,370184.81,389938.0,14,0.86,Delayed,0
32,Project 32,2021-06-20,2022-04-28,403705.66,361743.79,4,0.22,At Risk,0
33,Project 33,2021-03-07,2021-05-02,148196.94,123054.64,13,0.97,Delayed,0
34,Project 34,2023-08-07,2024-04-18,96945.38,82554.02,5,0.78,At Risk,0
35,Project 35,2023-08-24,2024-06-25,377801.23,321591.33,5,0.11,At Risk,0
36,Project 36,2023-03-20,2024-01-29,405349.02,348908.66,6,0.57,Cancelled,0
37,Project 37,2021-11-01,2022-03-07,495347.52,423785.09,6,0.99,At Risk,0
38,Project 38,2021-04-08,2022-02-15,212182.66,224139.13,12,0.47,Cancelled,0
39,Project 39,2022-11-16,2023-10-28,192288.86,167820.49,13,0.18,At Risk,0
40,Project 40,2022-03-17,2023-02-13,390442.35,366339.14,13,0.48,Cancelled,0
41,Project 41,2021-05-03,2021-10-26,176993.73,205085.35,7,0.51,Cancelled,0
42,Project 42,2022-05-11,2022-06-13,466071.09,461216.8,6,0.74,Delayed,0
43,Project 43,2021-02-04,2021-04-09,430622.25,459483.89,13,0.7,Delayed,0
44,Project 44,2023-06-29,2024-02-05,220207.07,191344.08,12,0.4,Completed,1
45,Project 45,2021-09-16,2021-12-03,377926.82,331409.93,10,0.22,On Track,1
46,Project 46,2022-10-25,2022-12-10,379726.01,309988.36,8,0.65,Delayed,0
47,Project 47,2021-11-08,2022-05-28,60530.7,52514.86,8,0.42,On Track,1
48,Project 48,2022-06-05,2023-02-09,452250.92,412197.83,10,0.13,Completed,1
49,Project 49,2022-07-01,2023-01-04,257573.66,224296.22,9,0.9,At Risk,0
50,Project 50,2021-07-04,2021-09-17,414964.16,346694.68,12,0.69,Delayed,0
51,Project 51,2023-08-28,2023-10-02,166824.3,141509.44,13,0.68,Cancelled,0
52,Project 52,2023-02-15,2023-06-23,448806.38,441765.28,14,0.82,Cancelled,0
53,Project 53,2023-07-29,2024-04-16,200708.82,177132.25,12,0.53,At Risk,0
54,Project 54,2023-06-14,2023-08-19,15310.45,14479.21,10,0.82,Delayed,0
55,Project 55,2022-08-21,2023-06-26,453637.17,454257.25,4,0.5,At Risk,0
56,Project 56,2023-07-11,2024-06-06,54730.47,58898.63,11,0.07,At Risk,0
57,Project 57,2021-03-30,2021-10-26,166463.68,135788.56,3,0.41,Completed,1
58,Project 58,2021-07-15,2021-11-16,475530.36,532481.85,10,0.5,At Risk,0
59,Project 59,2021-02-15,2021-06-23,475797.5,500139.37,14,0.72,Cancelled,0
60,Project 60,2021-11-22,2022-06-27,290984.57,242303.9,13,0.11,On Track,1
61,Project 61,2022-01-24,2022-06-18,319600.23,367358.56,14,0.14,At Risk,0
62,Project 62,2021-09-29,2022-05-07,229738.31,268414.52,14,0.26,Cancelled,0
63,Project 63,2023-04-09,2024-01-16,153673.28,126693.04,6,0.27,On Track,1
64,Project 64,2021-12-23,2022-07-01,171045.63,155779.99,6,0.73,At Risk,0
65,Project 65,2021-10-08,2022-07-20,339534.04,381120.34,7,0.25,Delayed,0
66,Project 66,2022-06-27,2023-06-14,378663.52,416266.28,10,0.63,Cancelled,0
67,Project 67,2021-05-21,2021-10-25,397873.73,347665.41,7,0.49,On Track,1
68,Project 68,2023-03-14,2023-04-30,396912.89,350767.69,10,0.57,Delayed,0
